price,guests,beds,bedrooms,baths,superhost,favourite,rating,reviews,latitude,longitude,area_Ampelokipoi-Menemeni,area_Evosmos,area_Stavroupoli,parking,view,self_checkin
41.0,3,2.0,0.0,1.0,0,0,4.0,92.0,40.64048,22.9371,1,0,0,0,0,1
58.5,3,2.0,0.0,1.0,0,0,4.0,89.0,40.64084,22.93632,1,0,0,0,0,1
43.5,3,2.0,0.0,1.0,0,0,4.0,89.0,40.64084,22.93632,1,0,0,0,0,1
105.76,6,4.0,3.0,1.0,1,1,4.0,85.0,40.72648,22.918,1,0,0,0,0,0
49.6,3,2.0,1.0,1.0,1,0,4.0,40.0,40.6539,22.9172,1,0,0,1,0,0
58.0,4,2.0,1.0,1.0,1,1,4.0,238.0,40.637,22.9363,1,0,0,0,0,1
100.0,11,9.0,4.0,2.0,1,1,4.0,137.0,40.6371,22.9362,1,0,0,0,1,1
115.0,16,10.0,5.0,3.0,1,1,4.0,145.0,40.6371,22.9363,1,0,0,0,1,1
110.0,17,11.0,5.0,3.0,1,1,4.0,130.0,40.6371,22.9361,1,0,0,0,1,1
84.25,2,1.0,1.0,1.0,1,1,4.0,48.0,40.6685,22.9245,1,0,0,0,0,1
40.2,4,2.0,1.0,1.0,1,0,4.0,81.0,40.67682,22.93462,1,0,0,0,0,1
75.47,4,2.0,1.0,1.0,1,1,5.0,69.0,40.6628,22.9119,1,0,0,0,0,1
70.5,4,1.0,1.0,1.0,1,1,4.0,54.0,40.69036,22.8579,1,0,0,0,0,1
46.3,3,1.0,1.0,1.0,0,0,4.0,26.0,40.6491,22.9232,1,0,0,0,0,0
58.0,6,3.0,2.0,1.0,1,0,4.0,135.0,40.64375,22.93328,1,0,0,0,0,1
42.8,4,2.0,1.0,1.0,1,0,4.0,108.0,40.6389,22.9362,1,0,0,0,0,1
54.4,4,2.0,1.0,1.0,0,0,4.0,83.0,40.64154,22.9328,1,0,0,0,0,1
48.8,2,1.0,0.0,1.0,0,0,4.0,100.0,40.64196,22.93241,1,0,0,0,0,1
53.8,4,2.0,1.0,1.0,0,0,4.0,57.0,40.64203,22.93085,1,0,0,0,0,1
54.4,2,1.0,0.0,1.0,0,0,4.0,98.0,40.64129,22.93261,1,0,0,0,0,1
